date,1. open,2. high,3. low,4. close,5. volume,5. change in price
2020-12-07 20:00:00,649.1,649.25,649.01,649.24,16519.0,0.13999999999998636
2020-12-07 19:59:00,649.05,649.3,649.01,649.25,9743.0,0.20000000000004547
2020-12-07 19:58:00,649.12,649.4499,649.03,649.15,10635.0,0.029999999999972715
2020-12-07 19:57:00,649.15,649.2,649.03,649.12,5385.0,-0.029999999999972715
2020-12-07 19:56:00,649.3,649.3,649.01,649.13,5162.0,-0.16999999999995907
2020-12-07 19:55:00,649.39,649.4,649.0,649.0,4150.0,-0.38999999999998636
2020-12-07 19:54:00,648.8,649.37,648.74,649.37,12856.0,0.57000000000005
2020-12-07 19:53:00,648.75,648.83,648.7,648.7,1555.0,-0.049999999999954525
2020-12-07 19:52:00,648.65,648.88,648.65,648.88,2087.0,0.2300000000000182
2020-12-07 19:51:00,648.7,648.9,648.7,648.88,3173.0,0.17999999999994998
2020-12-07 19:50:00,648.8999,648.95,648.7,648.7,4337.0,-0.1998999999999569
2020-12-07 19:49:00,648.7,648.95,648.7,648.89,6690.0,0.18999999999994088
2020-12-07 19:48:00,648.6,648.7,648.6,648.61,1609.0,0.009999999999990905
2020-12-07 19:47:00,648.69,648.7,648.62,648.63,2306.0,-0.06000000000005912
2020-12-07 19:46:00,648.65,648.75,648.55,648.55,1548.0,-0.10000000000002274
2020-12-07 19:45:00,647.9,648.8,647.89,648.8,15647.0,0.8999999999999773
2020-12-07 19:44:00,647.6,648.0,647.5,648.0,4499.0,0.39999999999997726
2020-12-07 19:43:00,647.7,647.8799,647.5,647.5,4071.0,-0.20000000000004547
2020-12-07 19:42:00,647.68,647.88,647.63,647.88,2316.0,0.20000000000004547
2020-12-07 19:41:00,648.66,648.66,647.71,647.71,6496.0,-0.9499999999999318
2020-12-07 19:40:00,648.75,648.75,648.6,648.75,1309.0,0.0
2020-12-07 19:39:00,648.69,648.79,648.52,648.79,2670.0,0.09999999999990905
2020-12-07 19:38:00,648.31,648.64,648.31,648.64,979.0,0.3300000000000409
2020-12-07 19:37:00,648.48,648.48,648.39,648.39,1396.0,-0.09000000000003183
2020-12-07 19:36:00,648.7,648.7,648.2,648.31,11558.0,-0.39000000000010004
2020-12-07 19:35:00,648.52,648.93,648.52,648.8,2460.0,0.2799999999999727
2020-12-07 19:34:00,649.28,649.3,648.52,648.52,6997.0,-0.7599999999999909
2020-12-07 19:33:00,649.24,649.24,649.24,649.24,1618.0,0.0
2020-12-07 19:32:00,649.17,649.24,649.1,649.24,2050.0,0.07000000000005002
2020-12-07 19:31:00,649.1,649.19,649.01,649.19,2023.0,0.09000000000003183
2020-12-07 19:30:00,649.34,649.35,649.1,649.1,4122.0,-0.2400000000000091
2020-12-07 19:29:00,648.9,649.35,648.81,649.35,8341.0,0.4500000000000455
2020-12-07 19:28:00,648.7,648.88,648.65,648.88,3653.0,0.17999999999994998
2020-12-07 19:27:00,648.6,648.65,648.51,648.65,1134.0,0.049999999999954525
2020-12-07 19:26:00,648.5,648.65,648.47,648.65,1530.0,0.14999999999997726
2020-12-07 19:25:00,648.5,648.5,648.3,648.3,2887.0,-0.20000000000004547
2020-12-07 19:24:00,648.62,648.62,648.51,648.51,2068.0,-0.11000000000001364
2020-12-07 19:23:00,648.63,648.63,648.63,648.63,608.0,0.0
2020-12-07 19:22:00,648.75,648.81,648.75,648.81,1938.0,0.05999999999994543
2020-12-07 19:21:00,648.35,648.75,648.35,648.75,4795.0,0.39999999999997726
2020-12-07 19:20:00,648.25,648.35,648.22,648.35,2661.0,0.10000000000002274
2020-12-07 19:19:00,648.29,648.3,648.21,648.22,2416.0,-0.06999999999993634
2020-12-07 19:18:00,648.21,648.3,648.21,648.2999,1839.0,0.08989999999994325
2020-12-07 19:17:00,648.2,648.3,648.2,648.2,4426.0,0.0
2020-12-07 19:16:00,648.35,648.35,648.3,648.33,899.0,-0.01999999999998181
2020-12-07 19:15:00,648.27,648.45,648.27,648.45,2439.0,0.18000000000006366
2020-12-07 19:14:00,648.26,648.45,648.24,648.29,3925.0,0.029999999999972715
2020-12-07 19:13:00,648.25,648.26,648.04,648.26,2955.0,0.009999999999990905
2020-12-07 19:12:00,648.19,648.32,648.19,648.32,919.0,0.12999999999999545
2020-12-07 19:11:00,648.0,648.39,648.0,648.09,2430.0,0.09000000000003183
2020-12-07 19:10:00,648.1,648.25,647.89,648.14,2208.0,0.03999999999996362
2020-12-07 19:09:00,647.6201,648.0,647.6201,648.0,7186.0,0.37990000000002055
2020-12-07 19:08:00,647.99,647.99,647.75,647.79,1676.0,-0.20000000000004547
2020-12-07 19:07:00,647.7,648.0,647.7,647.97,4356.0,0.2699999999999818
2020-12-07 19:06:00,647.59,647.82,647.5,647.82,3661.0,0.2300000000000182
2020-12-07 19:05:00,647.6,647.7,647.5,647.59,5043.0,-0.009999999999990905
2020-12-07 19:04:00,647.65,647.84,647.5,647.6,7308.0,-0.049999999999954525
2020-12-07 19:03:00,647.71,647.71,647.5,647.63,11061.0,-0.08000000000004093
2020-12-07 19:02:00,648.01,648.26,647.5,647.5,12714.0,-0.5099999999999909
2020-12-07 19:01:00,648.1501,648.3,648.0,648.3,7531.0,0.14990000000000236
2020-12-07 19:00:00,648.31,648.36,648.19,648.36,1939.0,0.05000000000006821
2020-12-07 18:59:00,648.27,648.3,648.09,648.3,2675.0,0.029999999999972715
2020-12-07 18:58:00,648.38,648.45,648.01,648.02,13968.0,-0.36000000000001364
2020-12-07 18:57:00,648.45,648.5,648.35,648.5,1530.0,0.049999999999954525
2020-12-07 18:56:00,648.6,648.6,648.34,648.4,9832.0,-0.20000000000004547
2020-12-07 18:55:00,648.65,648.7,648.61,648.65,1705.0,0.0
2020-12-07 18:54:00,648.69,648.76,648.52,648.65,3921.0,-0.04000000000007731
2020-12-07 18:53:00,648.34,648.66,648.34,648.66,3864.0,0.31999999999993634
2020-12-07 18:52:00,648.57,648.57,648.34,648.34,4516.0,-0.2300000000000182
2020-12-07 18:51:00,648.55,648.69,648.34,648.69,7066.0,0.14000000000010004
2020-12-07 18:50:00,648.6999,648.7,648.55,648.55,3492.0,-0.14990000000000236
2020-12-07 18:49:00,648.55,648.71,648.55,648.6999,4698.0,0.14990000000000236
2020-12-07 18:48:00,648.52,648.75,648.52,648.6,6779.0,0.08000000000004093
2020-12-07 18:47:00,648.63,648.8,648.59,648.59,4030.0,-0.03999999999996362
2020-12-07 18:46:00,648.5,648.69,648.5,648.5,5284.0,0.0
2020-12-07 18:45:00,649.0,649.0,648.5,648.5,8426.0,-0.5
2020-12-07 18:44:00,649.18,649.32,648.88,648.88,10052.0,-0.2999999999999545
2020-12-07 18:43:00,648.84,649.17,648.82,649.17,15290.0,0.32999999999992724
2020-12-07 18:42:00,648.9,649.0,648.81,648.81,4205.0,-0.09000000000003183
2020-12-07 18:41:00,648.69,648.88,648.69,648.8,4255.0,0.10999999999989996
2020-12-07 18:40:00,648.6,648.8,648.39,648.8,7324.0,0.1999999999999318
2020-12-07 18:39:00,648.68,648.75,648.34,648.5,7907.0,-0.17999999999994998
2020-12-07 18:38:00,648.46,648.8,648.46,648.68,15222.0,0.2199999999999136
2020-12-07 18:37:00,647.3,648.3,647.3,648.3,19536.0,1.0
2020-12-07 18:36:00,647.27,647.45,647.2,647.35,5368.0,0.08000000000004093
2020-12-07 18:35:00,647.26,647.3,647.25,647.3,1431.0,0.03999999999996362
2020-12-07 18:34:00,647.45,647.5,647.35,647.35,1731.0,-0.10000000000002274
2020-12-07 18:33:00,647.46,647.5,647.45,647.45,1806.0,-0.009999999999990905
