,Change In Price,Favorites,Retweets,Text,Negative,Neutral,Positive,Compound
2020-04-22,5.625991821289063,14587.708333333336,2092.625,"There are now 420 operational Starlink satellites , New York seeing same results for invasive ventilators as Wuhan Starlink will deliver high speed broadband internet to locations where access has been unreliable, expensive, or completely una…,RT Successful deployment of 60 Starlink satellites confirmed Watch Falcon 9 launch 60 Starlink satellites → Pretty much. We place high value on simulation too, but nothing’s as weird as reality!, It’s made of a special dark foam that’s extremely… Solar panel angle during orbit raise / park. We’re fixing it now., Yes, They are in fact being deorbited haha, Small amount of isopropyl alcohol (cleaning fluid) was trapped in a se… Sure hope so!, Frankly, much of the stimulus money is questionable, but this much to oil &amp; gas seems especially so, Not the greatest use of money,RT New T-0 of 3:30 p.m. EDT, 19:30 UTC, for today’s launch of Starlink, If this launch succeeds, we will have put up 422 satellites …,RT Happy Earth Day! Thanks! We are taking some key steps to reduce satellite brightness btw. Should be much le… Makes sense, Nice, Anything surprising?, Numbers I was told from Wuhan were 80% to 90% mortality rate for invasive ventilators. Those are not good odds., When I talked to doctors in Wuhan, they recommended against invasive ventilators &amp; in favor of non-invasive, No kidding …",0.077,0.724,0.2,0.9858
2020-04-23,-4.3939971923828125,7366.952380952382,601.047619047619,"Starship SN4 tank on test stand Yes, same results are showing up pretty much everywhere on Earth. Contagion is higher in high pop de… lining is that mortality rate is much lower than predicted &amp; herd immunity much higher. Good news. Maybe Cybertruck will have it …, I’m dying to do super efficient, quiet home HVAC with HEPA &amp; water distillation. It’s weird, but I really want to do it., Good one, Will talk with team. We have a lot on our plate!, Side camera view looks a little weird, as meant for self-driving, but will review with tea… That is more reasonable, especially if mostly loans. Oil &amp; gas is an important industry without which civ… So shall we all, Yes, Haha sure, Good summary,RT Tesla Model S and Model X get free acceleration and endurance boost in new update Coming soon, Yes, Yes, Yeah, it’s named after my friend Jo… Maybe just make Joe Mode quieter?, Private beta begins in ~3 months, public beta in ~6 months, starting with high latitudes,In advance of this, please try to hack Starlink &amp; Tesla Mothership!",0.032,0.703,0.265,0.9945
2020-04-24,2.8679962158203125,6105.7058823529405,464.7647058823529,"I agree,Mythic Quest is 🤣🤣 MTTD, Mean Time To Dick is a key measure of any given human or machine intelligence system, Merlin is very simple compared to Raptor,RT Starting today Teslas in the US can automatically stop for traffic lights and stop signs. Just say where you want to…, Width currently limited by size of cold-roll press needed to get steel to full hard… Absolutely,Great questions from Hack Club! That’s hardcore,The Machine Stops Hard to imagine 2030, Seems so long ago, Exactly, It’s great,Welcome to the Tesla board! Honored to have you., , 🤣🤣",0.126,0.795,0.079,-0.4559
2020-04-27,12.227996826171875,12810.24,1117.56,"Which isn’t easy!,Too much the moral arbiter of the world,Silicon Valley has become Sanctimonious Valley, Starship will be able to launch telescopes over 3X diameter of Hubble, Hopefully start serving Africa early next year, Pretty much, Soon, it will be in tiktok, Oddly mesmerizing, Haha true. Great headline. It’s quite hard to have rocket test articles not explode, as t… Interesting, Yes, Just one. SN5 will get three., Static fire with Raptor hopefully later this week, 4.9 bar. Kind of a softball tbh, but that’s enough to fly!, Great work by SpaceX engineering!,SN4 passed cryo proof! What do you make of the FT claims? FT is saying current death rate is extremely unusual, but you’re saying 2017 was higher. Whic… in Texas Airplanes fly about 600 mph, but the orbits Earth at 17,500 mph &amp; looks like a very bright star moving across the…,Cryo test underway, Dark mode makes Twitter feel like night, How is it considered probable if there’s no covid test? Is just a coug… So dark out there, Would be helpful to distinguish deaths caused by covid vs unrelated to covid!",0.053,0.771,0.177,0.9762
2020-04-28,-5.304000854492188,796.0,49.0,,0.0,0.0,0.0,0.0
2020-04-29,2.0680084228515625,63599.444444444445,9769.222222222224,"Yes, Bon voyage, Hell yeah!!, True, Yes, reopen with care &amp; appropriate protection, but don’t put everyone under de facto house arrest,FREE AMERICA NOW,Bravo Texas! people their freedom back!",0.069,0.568,0.362,0.8972
2020-04-30,-14.6619873046875,19529.33333333333,4566.541666666667,"This needs to stop,RT Tesla Reached 1,000 Solar Roof Production In A Single Week, Exceeding 4MW AI makes more progress,This is misleading to the public,Classifying all deaths as corona even if corona didn’t cause the death is simply a lie Both and have said we should go build/get back to work and have been met with harsh criticism. I’m with…, Great work by SpaceX team &amp; very much appreciate faith in Starship by Last year, NASA announced Starship as eligible for the Commercial Lunar Payload Services (CLPS) initiative – to deliver payload…,RT SpaceX has been selected to develop a lunar optimized Starship to transport crew between lunar orbit and the surface of the Moo…, You don’t say …,RT Yes, reopen with care &amp; appropriate protection, but don’t put everyone under de facto house arrest, Sound reasoning, Yup, Sweden is sensible, Exactly,Why forced isolation is bad Provided the hospital system is not overwhelmed, is 100% correct that people should be able to make their down decisio…,California HHS server crashed. Maybe it has covid. Yes!,Actual data reference CHHS in California have been half empty this whole time $TSLA CEO blasts shelter in place orders: “To say that they cannot leave their house and they will be arrested…, Bravo Very sensible",0.12,0.814,0.065,-0.9382
2020-05-01,-10.735992431640623,43226.55172413793,4326.4137931034475,"We’re going to try landing Starship on the moon with enough propellant to return to Earth, How much for some anime Bitcoin? , 🤣🤣, Reality is its own parrot parody, There will be no Mars if we let them take our freedom away, bring it on, As always, I am optimistic about Tesla long-term, , Baby due on Monday, Don’t need the cash. Devoting myself to Mars and Earth. Possession just weigh you down.,My gf is mad at me,Just one stipulation on sale: I own Gene Wilder’s old house. It cannot be torn down or lose any its soul.,Rage, rage against the dying of the light of consciousness, Exactly. How cheaply freedom is sold.,O'er the land of the free and the home of the brave?,Oh, say does that star-spangled banner yet wave,Gave proof through the night that our flag was still there,And the rocket's red glare, the bombs bursting in air,Now give people back their FREEDOM,Tesla stock price is too high imo,I am selling almost all physical possessions. Will own no house., Incentives matter, Starship is making good progress,RT Why our Launch of the &amp; Demo-2 Mission to the is Essential: What is real any more, You got it!, Exactly, Well said",0.062,0.814,0.124,0.9184
2020-05-04,12.038009643554688,8110.368421052632,1121.7894736842106,"RT #MayTheFourthBeWithYou A few hours away!, Anyway, we’re just talking about 2% here, so not much. Confident Model S will get 400+ miles as soon as retest is allowed., Weird that EPA would deny this. We have precise car logs that confirm it happened. Happy to provide them., I hope anything lands, It seems unlikely right now, Mostly accurate. Liquid CH4 temp got too high this time. Offloading pro… Thanks!, Commentary is quite entertaining! MST3K,SN4 soon. Raptor looks so smōl. Good chance it accelerates viral vaccines &amp; cures, True 🤣🤣, What’s troubling is that this doesn’t get humanity a base on the moon or even a small crewed Mars mission, Excuse me, that’s Mr. Bizznizz 🧲. Where’s the respek!? 🤣🤣, There are many silver linings &amp; that is one, 🥜, !!, Exactly, Who is running this lame collection of bots &amp; trolls anyway? Try harder! I’m an engineer, knuckleh…",0.082,0.792,0.125,0.7976
2020-05-05,-4.3159942626953125,25458.0,3065.3,"There would be time-stamped video if this were true, Should be a lot of fun!, There are many pieces to the puzzle, DKE in a nutshell: we’re almost always dumber than we think we are, Science is simply rigorous pursuit of truth. Quality of reasoning i… That would be awesome, This is false. JD’s team put out “video evidence”, but convenien… Yeah, definitely a future feature, Levitt rocks, Important to distinguish died with covid vs died because of covid. Also, distinguish between tested posit… Utter moron, Thanks! Something more should be done. This guy has caused massive strife to the world… What a tool, Nope. Thanks!, Thanks :) Never too young for some ink haha, Boy, X Æ A-12 Musk, Mom &amp; baby all good",0.133,0.666,0.201,0.8623
2020-05-06,1.21600341796875,34959.94736842105,3692.5263157894733,"Good for them! About half the US will be mostly open by this weekend., Yes, That was the whole company back then. Grew organical… U r a powerful 🧚‍♀️,Wishing good vibes for all in 2nd half 2020, I mean, this d… Orange you glad it’s not entomology?, Yeah, but stopped doing physically risky things after the kids were born, Archangel-12 SR-71, but yes, Not to mention Thanks Maria , Possibly even flatter!, Hopefully so,What’s wild is that Super Heavy will have 31 Raptor engines in same space!, It’s true, the pressure bulkheads are too pointy,Starship SN4 passed static fire, Happy, healthy &amp; cute as a button :), This person is wrong. Why does JD wa…",0.129,0.606,0.265,0.9687
2020-05-07,0.5659942626953125,3224.733333333333,144.13333333333333,"🤣🤣, That’s pretty much what happened. The cows weren’t sure what… A mandatory tracing app would be insane, True, Probably makes sense to have a “Details” section of the app that mirrors… Franz and I do have absurdly similar tastes 🤣🤣, Would cover latitude of London, Yes, Peak rate of about half that for version 1 is about right, but heavily dependent on users per cell. Aimi… It will only work for higher latitudes (Seattle) at first, then get progressively closer to the equator, Sure :), Way more important than it sounds, Yeah!!, A fully &amp; rapidly reusable orbital rocket is fundamental… SLS makes me feel sad, No, they will be smashed beyond repair &amp; corroded, Yeah, although hydrogen is not a great choice for a booster engine, A great mystery of the universe, It’s so tragic that these engines just crash into the ocean every flight, Roundabouts no problem, but dodging distracted human drivers very tricky!, Looks about right. Ice mining/refining on Mars &amp;… In this case, just chilling the gas back to liquid, Yes, converts CO2 &amp; H2O to CH4 &amp; O2. Perfect for Mars! Flare stack flamed out. In a few weeks we’ll be recondensing methane using solar power, so no flare stack., Turns on city street intersections is the big one, Yes. Static fire feeding from fuel header vs main tank., Not SpaceX, His son sounds great btw, 2008 was a super tough year on all levels, Tesla &amp; SpaceX are the top two destinations for engineers, because you can have the most fun creatin…",0.166,0.701,0.133,-0.9074
2020-05-08,5.1300048828125,4746.375,163.6875,"Glad we could help, It’s true, Coming soon, Yes, this is a high priority, Operating on a prime directive of crash avoidance, it coul… Pain can certainly be turned off, but we’re not sure what the best initial test case (max g… Teslas automatically maintain their internal temperature to within safe lim… That’s harder than it sounds. Will check with team., Ok, !, No, but it’s mostly the same as the ship, e… It’s not all about engineering, although that is my personal favorite. Striving to make prod… To be clear, I do think finance &amp; law are important, but too many smart people in the US go into those fields. Also, too many MBAs., Yes, mostly because you can use the ship eve… Would be about 10 times that cost for payload to surface of Mars, Starship + Super Heavy propellant mass is 4800 tons (78%…",0.062,0.692,0.246,0.9872
2020-05-11,4.1559906005859375,40375.25,4738.25,"Exactly, Exactly, Don’t mislead the public. State said YES, an unelected county official is the problem. Tesla factory in ad… Yes, California approved, but an unelected county official illegally overrode. Also, all other auto com…,Tesla is restarting production today against Alameda County rules. I will be on the line with everyone else. If any… Yes, California approved, but an unelected county official illegally overrode. Also, all othe… Thank you Governor Newsom!, Zork with AI dungeon master, Note is much appreciated, Interesting, Yes, this is insane, Babies rock , Good summary, Yes, That would be great, We should do this,Thanks for the cool suggestions ❤️ More fun coming to your Tesla soon! For real, Absolutely,Happy Mother’s Day to other mothers!! ♥️♥️♥️ No, I just think you’re a boring idiot, Message received, This thread summarizes situation perfectly, Sheriff Bianco rocks!",0.084,0.615,0.301,0.9919
2020-05-12,-3.5179901123046875,35468.88888888888,3028.555555555556,"RT Simulator of Crew Dragon docking with → Personally, I think we should This is getting annoying. Honestly, I’m not sure it’s even helping their scam!, Those who always disagree have a closed mind … but, by their very nature, that won’t sink in (sigh), It’s not often that the Governor of California &amp; the President agree!, Thank you!, It appears that what he is saying is untrue, 🤣, Lil baby, Great, Tough call. Maybe Newton by a small margin. Both obviously extremely smart for a human., Wow, great writing!, 🤣🤣, All other car companies are allowed to manufacture *except* Tesla, you knucklehead. No wonder you got… Much appreciated!,That’s pretty much what happened Pretty close. It will look absurdly tall &amp; have a lot more ground support equipment., Haggerty actually admitted to NYT that he told his staff to “slow down” Tesla for reasons that had nothin…",0.055,0.703,0.242,0.9899
2020-05-13,-5.9739990234375,57388.84210526317,8778.157894736842,"Super exciting day coming up! The custom styling some of the team is doing over their masks is really cool!, Exactly!, Said another way, Falcon Heavy has 2/3 thrust of Saturn V. Starship/Super Heavy will have double thrust of Saturn V., Power of F9 today is still not widely understood. It has about same thrust as Delta IV Heavy, most pow… Yes,RT The first stage rocket booster supporting this mission previously launched two Starlink missions, as well as the Iridium-8 and…,RT Static fire test of Falcon 9 complete—targeting Sunday, May 17 at 3:53 a.m. EDT, 7:53 UTC, for launch of the eighth Starlink mi…, Cost-plus contracting is the devil,RT Elon Musk’s Email To Tesla Employees Returning To Work Tesla’s proven anti-pandemic safety plan has fallen on deaf ears amid an anti-Elon Musk narrative Hi Jared, Colorado is great! I think your policies make a lot of sense.,Life should be lived, Buca,Ice cream sundae in a martini glass Tolkien rocks, For sure ♥️, Best group on FB by far",0.026,0.822,0.151,0.9728
2020-05-14,4.6660003662109375,40567.55555555556,5282.0,"Exactly, Yes, Exactly, Thanks for adding!,Tesla Supercharger usage by region Marx Facebook sucks,RT Here’s some news that everyone should love. Check out the Model X that will carry and Fair point",0.0,0.677,0.323,0.908
2020-05-15,1.7639923095703125,10249.95652173913,874.9130434782608,"I still only own 0.25 Bitcoins btw, Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet mone… Pretty much, Frankly, I don’t even know what “plethora” means, True, Agreed, people have forgotten how much in-person events matter! Also, there’s a lot to see. It’s not just a presentation., Making great candy is harder than it seems!, Maximize the freedom of action of the people, True, Great wiki piece!, Napoleon was incredible. “It is my wish that my ashes may repose on the banks of the Seine, in the m… Age of Napoleon by Will &amp; Ariel Durant is an amazing book,RT Kerbonauts, we have a mission for you! On May 27, and are launching astronauts to the from U…, A few weeks away, Totally. Collective mind control by stoking fear., Marx vs Adam Smith -&gt; Adam Smith for the win. Not even close., Yes, improvement is exponential, Yeah. Maybe following individual journalists &amp; citizen journalists is better than publications. The… remarkable how often The News attempts to answer the question: what is the worst thing that happened on Earth… Still am, More or less crazy than reality itself?, It’s next-level for sure. Reality is getting weird fast., Famous last words, I said run for office, not president (sigh). Who even owns Newsweek these days? I lost track., Boring Co will also connect Vegas hotels &amp; airport. Autonomous Teslas in tunnels will provide individualized mass transit., We’re going to have to push out the date or attendance will be very low. Maybe do in two parts: webcast ne… Hospitals are going bankrupt for lack of patients True (sigh), Seriously, Big Candy is suppressing R&amp;D! When’s the last time you heard of a great new candy bar?, He was critical of large bureaucracies &amp; Napoleon III was indeed a knucklehead, Fair point, PyTorch is great!, Capitalism already has many fetters in the form of a plethora of regulatory bodies! I’m definitely… Probably sooner, This is happening a lot, That would be cool!, Very much agree!, 🤣🤣 Along with several guillotine death threats!,Boring Company completes 2nd Vegas tunnel Breakthrough, Part Deux his 18th Brumaire essay (in which he does make some good points), Marx famously said history repeats itself, fir… Exactly, Tesla makes the safest cars in the world &amp; our factory injury rate is better than industry avg &amp; tracking… SpaceX has 8000 employees in California, Washington, Texas &amp; Florida. Operating this entire time, as we ha… Absolutely. Tesla already went through this in China with 7000 employees. Zero fatalities or serious illnesses., The statistics stopped being valid when anyone with “covid symptoms”, which is now a… Well said! Please run for office. The politicians &amp; unelected bureaucrats who stole our liberty sh…",0.082,0.767,0.151,0.9899
2020-05-18,-2.8300018310546875,18157.0,1198.0,The FSD price will continue to rise as the software gets closer to full self-driving capability with regulatory app… Full Self-Driving option cost rises by ~$1000 worldwide on July 1st. Order a Tesla online in less than 2 minu… Zach made a significant contribution to SpaceX &amp; is a friend. I wish him well as he tries something new.,0.0,0.836,0.164,0.8316
2020-05-19,-1.4319915771484375,103395.0,12375.285714285714,"I am … openly moderate,More fun, less shun!, , Exactly,Cancel Cancel Culture!, 🤣🤣, Yes",0.106,0.49,0.403,0.7048
2020-05-20,-0.988006591796875,5499.0,132.0,True,0.0,0.0,1.0,0.4215
2020-05-21,2.32000732421875,3499.0,4586.333333333333,"RT Falcon 9 and Crew Dragon are vertical on the launch pad Sure,RT Crew Dragon and Falcon 9 in the hangar at Launch Complex 39A Cool group, Astronauts to orbit next week!,RT The Crew Dragon has arrived to Launch Complex 39A! This spacecraft will carry and to the",0.0,0.94,0.06,0.4374
2020-05-22,-1.0579986572265625,50212.142857142855,8218.42857142857,"Time to return, New New Hampshire license plate?,Open your eyes, look up to the skies, Когда рак на горе свистнет, Great episode, Мне очень нравится звучание русского языка, Sure, Jay *really* knows cars! Next-level., I’m a big fan of Kathy Lueders!, 🤣, Mission control at the Cape, Much harder problem than it may seem, Culmination of a truly incredible amount of work by &amp; engi… ICYMI: Earth is beautiful.",0.034,0.765,0.202,0.9244
2020-05-26,-3.1259918212890625,24316.55555555556,3640.0,"Haha true, , I sure hope so!,Dragon Dawn Thanks Lex!,RT Falcon 9 and Crew Dragon will lift off from Launch Complex 39A – the same place Saturn V launched humanity to the Moon and from…, Good question Strap yourself into the Dragon capsule that will take astronauts to the Wednesday. Don'…, Worth reading",0.0,0.658,0.342,0.957
2020-05-27,-0.1259918212890625,86937.92307692308,15580.53846153846,"He is great, human kind,RT Artwork by flying aboard Dragon Standing down from launch today due to unfavorable weather in the flight path. Our next launch opportunity is Saturday, May 30…, Crew access arm retracting from the spacecraft Webcast of Crew Dragon’s demonstration mission with astronauts and on board the spacecraft is n…,RT ✔️ Strapped in ✔️ Ready for the ride #LaunchAmerica ️ predicts a 60% chance of favorable weather for our #LaunchAmerica mission. Prior to tomorrow's launch, Yeah, Atlantic weather review tomorrow morning will determine if we can launch,RT Together with we will return human spaceflight to American soil after nearly a decade. Tomorrow is not only a big day fo…, Feels so long ago",0.0,0.844,0.156,0.9451
2020-05-29,5.25,16192.333333333336,458.66666666666674,"Worth noting that, as of Jan 1, Tesla buyers no longer received any federal tax credit. Model 3 led… We slowed down a bit to allow Supercharger V3 production to get going, but now will speed up!, More Superchargers coming soon!",0.038,0.836,0.126,0.3987
2020-06-01,8.019989013671875,30608.0,1357.25,"Starship is the key to making life multiplanetary &amp; protecting the light of consciousness, Well said, Definitely not right that the other officers were charged with nothing. What message does this send in ge… Where’s the banana!?",0.044,0.831,0.125,0.5093
2020-06-02,-2.6280059814453125,274047.0,16074.5,"Off Twitter for a while,RT When &amp; launched to on the Dragon Endeavour ️, they brought a mosaic of Earth wi…",0.0,0.923,0.077,0.128
2020-06-04,-5.0999908447265625,9391.222222222224,3814.111111111111,"Wow, hard to believe that was 10 years ago!, Jack is doing his best. I support him.,RT Falcon 9 flew for the first time ten years ago today. Completing 85 missions to date, Falcon 9 is now the most flown operationa…, Time to break up Amazon. Monopolies are wrong!, This is insane That’s when all life on Earth will be boiled off. What matters is how long civilization is capable of mak… So many war stories over 18 eventful years! But Starship can make life multiplanetary, which is what r… Always incredible!🤩🤩 ,RT Liftoff!",0.077,0.762,0.161,0.8397
2020-06-05,1.5640106201171875,3453.333333333333,175.66666666666663,"Methalox is the right propellant. Should be staged combustion &amp; highly reusable., Yes, About a dozen transfer windows, so ~25 years",0.0,0.864,0.136,0.4549
2020-06-08,6.183990478515625,19522.090909090908,1305.909090909091,"To meme the impossible meme , We’re working on new legs. Wider stance &amp; able to auto-level. Important for leaning into w… Forward thrusters are to stabilize ship when landing in high winds. If goal is max payload to moon… Absolutely, Outcome-based contracting with multiple competitors is vastly better than co… this is extremely important!! 🤣, Autopilot prime directive is: don’t crash. What seems fast to humans is slow to a computer. 360 de… at Good point, And those who weren’t expecting a ternary joke",0.03,0.834,0.137,0.8306
2020-06-09,0.1320037841796875,8582.0,4105.75,"RT Starlink fairing deploy sequence Size matters, Sure seems that way 🤣🤣, Bad incentive structure",0.172,0.539,0.289,0.1027
2020-06-10,6.6339874267578125,16944.55555555556,1638.1851851851852,"Trèy Boucher,Catapults are a great way to get somewhere fast Great point. Many articles are retweeted based on headlines that don’t match the content., Actually, we’re on SN30 for Raptor, Sure. That’s long montage 🤣🤣, Wow, ❤️ the laser beam long exposure shots, Hundreds of improvements in manufacturability primarily (this is by fa… Also, insulation of a deep cryogen( which I’d call anything that liquifies nitrogen aka 78… factory workplace safety is 5% better than industry average for manufacturers &amp; improving fast Important technical note: due to higher O/F of CH4 vs RP1 (oxygen is dense) &amp; signific… We could never reach 380 Isp with RP/kerosene. CH4 has higher Isp potential on paper,… which they are recycled batteries are lasting much longer than 200k miles / 320k km energy produced by Tesla solar deployments far exceeds energy used in our factories cars produce *much* less CO2 than fossil fuel cars, taking both electricity emission &amp; vehicle production… Tesla Impact Report, this time with summary points &amp; charts in my reply tweets Haha. Will post summary., Combined with SpaceX deep subcooling of propellants to near liquefaction temp of N2, use of common dom… Quite a piece! I should credit Soviet/Russian engine work in the 80’s as being a factor in deciding to… reading the whole thing We shall see …, Maybe I should retweet the top four or five point. What caught your eye the most?, Good point!, Yes, (Formerly) mainstream media has systemic negative &amp; political bias about almost everything.…",0.022,0.814,0.163,0.9889
2020-06-11,-3.4720001220703125,45041.13333333333,4748.133333333333,"Acceptable, if your drivetrain is very efficient &amp; you add a little manga, As foretold by Stonks,lol, Exactly. Chartering a dedicated 747 flight around the world costs less than buy… True, Battery industry is world champion at bs. “Lithium-ion” doesn’t really… I thought this was an Onion article, Staggeringly dumb, I got the fuel cell question about 8000 times, It’s getting Biblical, Exactly, fuel cells = fool sells, Renewable energy passed coal in April Worth considering, Agreed",0.07,0.696,0.235,0.9141
2020-06-15,14.621994018554688,11037.5,825.3333333333335,"Tesla Model S now first ever electric vehicle to receive EPA range rating above 400 miles! Absolutely,China &amp; Asia Pacific Supercharger usage above pre-covid highs. North America catching up fast. Europe slightly behi… Looking likely, Throttling is done by adjusting flow to the… Tank didn’t burst, but leaked at 7.6 bar. This is a good result &amp; supports idea of 304L stainless bein… Yeah. Merlin, using a single pintle injector with cold, li… Yes, That’s the goal. There a few known weak points on this test tank, probably capable of more pressure. T… Sure, Around 20ms. It’s designed to run real-time, competitive…",0.084,0.745,0.171,0.8872
2020-06-16,-5.944000244140625,12855.9,916.8,"It will be real, Maybe Incat There will be many test flights before commercial passengers are carried. First Earth to Earth test flight… We need to be far enough away so as not to bother heavily populated areas. The launch… Directionally correct, but Zenit is an order of magnitude smaller than Starship system &amp; doesn’t come back &amp; land, US law requires at least a green card to be hired at SpaceX, as rockets are considered advanced weapons technology, Pretty much, Illuminaughty haha,SpaceX is building floating, superheavy-class spaceports for Mars, moon &amp; hypersonic travel around Earth Maybe some Flextape, No problem, we can buff it out, Fairing reuse is looking good, So where are the aliens?, Or Y, No larger pack Model 3 is in development, Actually, we’ve made slight changes, but the range improvement is &gt;90% efficiency, Cool, Physics doesn’t care about politicians, Coming soon,All Model S cars made since late Jan have 402 mile range. This is just making it official.",0.069,0.789,0.142,0.9283
2020-06-17,0.8159942626953125,647.0,401.0,"RT Help us find an unsung hero! If they win, they get $50k &amp; you get up to $3k for nominating/spreading the word. Our first 3 awa…, Not sure. They’re pretty close together.",0.109,0.643,0.248,0.7784
2020-06-18,0.1920013427734375,8705.714285714286,581.8571428571429,"🤣🤣, We are considering several options, Tesla has an option to purchase this land, but has not exercised it, Renewable energy is happening fast, Comes standard with Cybertruck,RT More than 100 spacecraft have been signed up to fly on Falcon 9 since we launched the rideshare program. Small satellite operat…",0.0,0.914,0.086,0.5267
2020-06-19,-2.376007080078125,73673.5,5738.333333333332,"It does require use of a paid-time-off day, which is true of many other holidays,Juneteenth is henceforth considered a US holiday at Tesla &amp; SpaceX, Moving fast, Opening in about two weeks, Reaching chamber pressure of 300 atmospheres, Confirmed",0.052,0.776,0.172,0.6249
2020-06-22,-1.126007080078125,21289.14285714286,884.2857142857142,"Yes, Yes,Tentative date for Tesla Shareholder Meeting &amp; Battery Day is Sept 15. Will include tour of cell production system., Done. Now $2k via in-app purchase.,Reminder that Tesla Full Self-Driving (FSD) price goes up by $1k on July 1st,Enabling basic Tesla Autopilot via Tesla in-app purchase is reduced to $2k until July 1, All patched up!",0.0,0.948,0.052,0.4574
2020-06-23,0.5800018310546875,17540.666666666668,1060.3333333333333,"Congratulations!, Very much disagree with this action. In my experience, these skillsets are net job creators. Visa reform m… Will be changed to $3k until July 1st",0.109,0.891,0.0,-0.4889
2020-06-24,-6.652008056640625,4643.0,203.7142857142857,"Yes, it is designed to serve the least-served, Yes, although Starlink works best for low population density situations, Canada is a major priority for Starlink!, September sounds about right, Well said by Takes longer to get regulatory approvals in Europe, plus way more diverse traffic signs, lights &amp; road rules, Timing is uncertain, given externalities, but yes",0.049,0.768,0.183,0.8197
2020-06-25,6.3419952392578125,35050.3,1554.8,"Glad you’re ok,RT First thoughts driving my new Tesla model Y. Review and discussion of what I learned at Tesla today and outlook for the…, Exactly! A carbon tax is needed to correct the unpriced externality &amp; market will do the rest. The c… Looks pretty cool, Could be slightly faster,Two Starship tanks in the midbay Ok,Special thanks to Tesla trucking &amp; rail partners for figuratively &amp; literally going the extra mile,Apologies to Tesla customers for shifting delivery dates. It’s a crazy world out there!,RT Wall Street Journal: Tesla Model Y Offers “Fierce, Velvety” Driving Characteristics",0.024,0.858,0.118,0.8619
2020-06-26,-7.00799560546875,133297.11111111112,17865.833333333332,"Jay is awesome, Absolutely!, Giga Berlin is gonna rock!,. is a copy haha It’s close though , This makes no sense for many other reasons too. They don’t actually have spectrum priority, they have sh… Glad you like it!, Great idea,Who controls the memes, controls the Universe, 🤣🤣,Literally,Only a matter of time before someone steals a Tesla while playing GTA on a Tesla, Very meta, but yes, True, Coming soon,North American Supercharger usage tracking to exceed pre covid highs in 2 to 3 weeks. Lot of noise out there. This… I think we could make that work",0.036,0.753,0.211,0.9439
2020-06-29,8.0679931640625,11957.5,1701.0,"True, Cybertruck does feel like cgi irl, There are a ridiculous number of false positive C19 tests, in some cases ~50%. False positives scale line…",0.073,0.528,0.399,0.8779
2020-06-30,14.662002563476562,17701.363636363636,2381.5454545454545,"Extremely big difference between died because of or died wi… GPS just got slightly better This bill needs to be revoked. It gives absurd power to county bureaucrats., If accurate, this would explain a lot, Levitt is right, There are a lot of C19 false positives messing up the numbers. Even tests with 5% false positive rate (in *… Falcon 9’s first stage has landed on the Just Read the Instructions droneship! Liftoff! The tesla supercharger provides an ecosystem and network of amazing travel and shopping opportunities. I plan a lot of t…, Very much agree, Good hygiene always makes sense",0.061,0.747,0.191,0.9364
2020-07-01,7.32598876953125,14471.875,510.1875,"Haha awesome 🤣🤣, Hell of a decade, I love Texas! Starship production complex is in Boca Chica &amp; SpaceX engine development… Aiming for 10km with lots of turns to better approximate a real-world tunnel, You just have to be a shareholder. There is limited space, so sign up fast whe… Wow, I’ve never seen this level of support! Out of respect, seems like I should at least visit., We need to finish building a much longer vacuum tunnel for speed tests &amp; probably have an ad… All questions will be answered on Battery Day, Sept 15th. Will be webcast, although there is much to see in person.,Tesla Impact Report (repost). We do everything humanly possible to source materials &amp; produce sustainable energy ca… Things often don’t translate from mice to humans, but that’s promising, Likely true, Yes, Starlink will provide global coverage, Worth discussing at annual shareholders meeting, Party on …, Fixing",0.025,0.764,0.211,0.9813
2020-07-02,-2.5640106201171875,19300.102564102563,1246.076923076923,"Thanks Tesla owners &amp; investors! Love you!! We will work super hard to earn your trust &amp; support. Thank goodness! Front license plates make my eyes bleed.,RT Just over a month ago, &amp; launched to the aboard Crew Dragon. This…, Not bad, But sooo satisfying,SEC, three letter acronym, middle word is Elon’s,Will send some to the Shortseller Enrichment Commission to comfort them through these difficult times, Should have a free trade agreement with US. No tariffs at all either way., I worried we won’t be taken seriously if our short shorts have flames 🤣🤣, He wore them well. No denying it., Busted! I secretly ♥️ short shorts.,Tesla will make fabulous short shorts in radiant red satin with gold trim, Great interview 🤣🤣, Yes, Sellers of medium height or above are fine, Those dang budgie smugglers!!,Who wears short shorts? 🤣🤣, Great song 🤣🤣, Awesome!!, Thank you. Angie …, bs You cherry-picked one state out of fifty, which saw a minor uptick. Show the whole country., I tried to warn them … , Yup,RT Tesla crushes Wall Street’s Q2 estimates with over 90k deliveries $TSLA Something’s messed up about medicine that’s anti-science. In science, you question everyone, no matter… Here’s one: Yes, Angela, please show us the graphs/data that prove your point, I’m not building anything on ethereum. Not for or against it,… Lithium is common. Hard part is turning lithium salt or clay into extremely pure LiOH., Yes, at Tesla Grohmann, Tesla, as a side project, is building RNA microfactories for CureVac &amp; possibly others, In principle, I think synthetic RNA (and DNA) has amazing potential. This b… As you’d expect, this has resulted in a proportionately very high number of C19 false posi… Seems fishy, 🤣🤣 very true, A lot of functionality will happen all at once when… Going well. Team is kicking ass &amp; it’s an honor to work with them. P… Crassus was a dick",0.084,0.694,0.222,0.9945
