,Change In Price,Favorites,Retweets,Text,Negative,Neutral,Positive,Compound
2020-02-12,-2.1160125732421875,52150.428571428565,3840.857142857143,"RT SpaceX employees with Crew Dragon before it departed our Hawthorne factory for the launch site in Florida – one step closer to…, , Whoop whoop!!,Thanks Mom!!! ❤️ This does seem high,And some vitamin k too,Ok u can have a little emerald 🤹‍♂️",0.0,0.917,0.083,0.5216
2020-02-13,12.4320068359375,66032.5,7454.5,"be still my beating heart Unfortunately, Starship unlikely to survive LEO entry intact without shielding on wi…",0.255,0.66,0.085,-0.5574
2020-02-14,2.561996459960937,19686.25,2728.375,"Reminded me of The Lady of Shalott by Waterhouse, Haha, unNERVing, The joints will have shielding, but it’s hard to ensure a good seal. Transp… Might be used around flap joints, Will take action,Only the heart senses beauty, Shielding is only needed for orbital speeds",0.029,0.708,0.262,0.9306
2020-02-18,3.3599853515625,4328.4,212.8,"Tim Curry ftw, makeup, Unfortunately, I must agree that these are reasonable concerns, True, that was pretty impressive, My conversations with Gates have been underwhelming tbh",0.066,0.525,0.409,0.9081
2020-02-19,-1.21600341796875,27470.16666666667,1321.8333333333333,"SN 2+ will have better fit &amp; weld quality. Later serial numbers will use bigger stampings, so much less weld length., The Persuader hammer will fix SN1,Rocket nosecone production in Texas Yes, Glad you’re all ok! ❤️",0.0,0.702,0.298,0.9117
2020-02-20,-2.50799560546875,4569.0,328.88235294117646,"F9 iteration slowed down as payloads became too important to risk. Little change is expected… It’s mostly to balance the ship during entry. After delivering satellites, the front is light… Sorry, meant to say LOX header tank in tip of nose. CH4 main tank is above LOX main., LOX, These problems are fundamentally intertwined. Building many rockets allows for successive approximatio… Hardest problem by far is building the production system of something this big. 2nd hardest is achievi… Tesla Model 3 Is Consumer Reports' Top EV Pick for 2020 Probably, Attach wheels to the landing legs &amp; tow Starship to the launch pad, I rate it two Bugblatter Beasts of Traal up!,High bay for stacking Starship engine bay, propellant tanks &amp; fairing (fka nosecone) sections is almost done! The whole nose tip has to have heat shielding for atmospheric entry at Mach 25+ anyway… There will be a common area in the forward section with a big window like this. It… Header tanks are only ~2% of main tank volume, so not a big deal. Pressurized volume is still ~1000 cubic meters., O2 header tank is tip of nosecone, CH4 header is in the main CH4 tank, In the order that they were written,Worth reading Asimov’s Foundation",0.049,0.912,0.039,-0.3089
2020-02-21,-1.1959991455078125,142129.0,17574.75,"Btw, in some prior tweets I’d said production Cybertruck would be ~80” wide (vs ~84” body width at unvei… Active ride height &amp; active damping are game-changing for a truck or any car with a high max/min weight ratio,Science has gone too far",0.0,0.878,0.122,0.6597
2020-02-25,-9.818008422851562,48052.5,4733.5,"3 on SN2,SN2 tank integration starts this week with much less circumferential pucker. Thanks Fronius!,Starship SN1 tank preparing for Raptor attachment &amp; static fire 🤣🤣 some are good tho,And that’s why cones were invented is alive &amp; living in our hearts,Woody I did,Battle Angel Starship Teslas in a tunnel. Happening in Vegas rn., obv,On a wall in Austin BGII was amazing",0.035,0.752,0.213,0.9007
2020-02-26,-0.7400054931640625,7792.88888888889,415.11111111111114,"It’s not mine, Definitely! What’s in that sky city thing!? Needs a prequel even more than a sequel., Sure, Posting SpaceX videos is definitely not copyright infringement!, Hopefully, in March. Checking …, I had no idea this existed. Sounds awesome though!, Full disclosure, I’m actually a 3000 year old vampire. It’s such a trial assuming all thes… We had the wrong settings! To make the welds super flat &amp; strong, we’re building a heavy duty, custom plani… Yes",0.106,0.672,0.221,0.9121
2020-02-27,-10.199996948242188,9964.0,362.0,"It’s not that big really, Testing Raptor in vertical configuration (on the giant tripod) should allow us to simplify some aspects of the engine design",0.0,0.927,0.073,0.2263
